feature,train_missing_rate,train_abs_target_corr,train_target_corr,train_non_missing_rows
opp_pos_minutes_allowed_std_30,0.34659526625680753,0.02926528769963914,-0.02926528769963914,50271
opp_pos_fp_allowed_per_player_roll_3,0.34243601908054644,0.028641695981183934,0.028641695981183934,50591
offensiveRating_momentum_10_vs_30,0.010632075594317428,0.02855677841677817,0.02855677841677817,76119
opp_win_roll_30,0.3381727907248788,0.02854178914205262,-0.02854178914205262,50919
opp_effectiveFieldGoalPercentage_allowed_roll_30,0.3381727907248788,0.027957102956019393,0.027957102956019393,50919
opp_pointsInThePaint_allowed_roll_10,0.3381727907248788,0.027948323829608848,0.027948323829608848,50919
opp_pointsInThePaint_allowed_roll_5,0.3381727907248788,0.02758112194577781,0.02758112194577781,50919
opp_effectiveFieldGoalPercentage_allowed_roll_10,0.3381727907248788,0.025838328300342855,0.025838328300342855,50919
pace_z_10_vs_30,0.020978202945266908,0.025705797433731883,-0.025705797433731883,75323
opp_pointsSecondChance_allowed_roll_30,0.3381727907248788,0.025328574998966655,0.025328574998966655,50919
opp_pace_roll_5,0.3381727907248788,0.024428531589148976,0.024428531589148976,50919
pace_z_5_vs_30,0.020978202945266908,0.02425524343264414,-0.02425524343264414,75323
defensiveRating_z_5_vs_30,0.021147172361802514,0.024111604045171285,0.024111604045171285,75310
opp_defensiveRating_roll_5,0.3381727907248788,0.024104935186940103,0.024104935186940103,50919
freeThrowsPercentage_momentum_5_vs_10,0.010632075594317428,0.023790365736142283,0.023790365736142283,76119
defensiveRating_momentum_10_vs_30,0.010632075594317428,0.022503479295081133,0.022503479295081133,76119
trueShootingPercentage_momentum_5_vs_10,0.010632075594317428,0.021687063713948813,0.021687063713948813,76119
opp_pos_fp_allowed_std_30,0.34659526625680753,0.02152330691162191,-0.02152330691162191,50271
effectiveFieldGoalPercentage_momentum_5_vs_10,0.010632075594317428,0.021158177851317763,0.021158177851317763,76119
opp_win_roll_10,0.3381727907248788,0.02048269416370456,-0.02048269416370456,50919
bench_minutes_momentum_5_vs_10,0.010632075594317428,0.01943466099663469,-0.01943466099663469,76119
opp_effectiveFieldGoalPercentage_allowed_roll_5,0.3381727907248788,0.018255558856818902,0.018255558856818902,50919
